100,CAD, = 75.187969924812, USD
500CAD = 375.93984962406, USD, 2023-04-03 2:19:37 PM
600CAD = 451.127819548872 USD, 2023-04-03 2:20:40 PM
1000CAD = 740 USD, 2023-04-03 2:21:42 PM
250 CAD = 185 USD, 2023-04-03 2:22:33 PM
100 CAD = 100 CAD, 2023-04-03 2:27:18 PM
100 CAD = 74 USD, 2023-04-03 2:27:20 PM
100 CAD = 68 EUR, 2023-04-03 2:27:21 PM
100 CAD = 59.9 GBP, 2023-04-03 2:27:23 PM
100 CAD = 58596 CLP, 2023-04-03 2:27:24 PM
100 CAD = 74 USD, 2023-04-03 2:39:23 PM
20 CAD = 20 CAD, 2023-04-03 6:50:32 PM
20 USD = 27 CAD, 2023-04-03 6:50:37 PM
20 EUR = 29.2 CAD, 2023-04-03 6:50:40 PM
20 CLP = 0.034 CAD, 2023-04-03 6:50:43 PM
55 CAD = 40.7 USD, 2023-04-03 6:53:44 PM

55 CAD = 37.4 EUR, 2023-04-03 6:53:47 PM

55 GBP = 62.7 EUR, 2023-04-03 6:53:49 PM 

4 CAD = 2343.84 CLP, 2023-04-03 7:28:04 PM 

10 CAD = 5.99 GBP, 2023-04-03 7:28:15 PM 

400 CAD = 234384 CLP, 2023-04-13 3:46:16 PM 

40 CAD = 29.6 USD, 2023-04-16 11:28:35 AM

40 CAD = 23.96 GBP, 2023-04-16 11:28:37 AM 

